Source,Reference_number,Duplicate_record,soil.id,Reference,Latitude_deg,Longitude_deg,Soil_type,Depth_cm,Ecosystem_type,climate,Temp_mean,q10calc,substrate,Q10,corg,norg,clay,ph
Hamdi2013,17,,71,Elberling and Brandt 2003,74_28'N,20_34'W,Zack,0 to 20,tundra,cold,5,equal-time,N,2.56,6.5,0.4,,
Hamdi2013,17,,71,Elberling and Brandt 2003,74_28'N,20_34'W,Zack,0 to 20,tundra,cold,15,equal-time,N,1.96,6.5,0.4,,
Hamdi2013,18,,72,Elberling et al. 2006,78_ 01'S,163_53'E,Polygon,0 to 8,polar desert,cold,2,equal-time,N,344,0.116,,,
Hamdi2013,18,,72,Elberling et al. 2006,78_ 01'S,163_53'E,Polygon,0 to 8,polar desert,cold,7.5,equal-time,N,3.8,0.116,,,
Hamdi2013,19,,73,Fang and Moncrieff 2001,,,Fang-cult,,cultivated,temperate,10,sequential,N,2.4,,,,
Hamdi2013,19,,73,Fang and Moncrieff 2001,,,Fang-cult,,cultivated,temperate,30,sequential,N,2.2,,,,
Hamdi2013,19,,74,Fang and Moncrieff 2001,,,Fang-forest,,forest,temperate,10,sequential,N,3.4,,,,
Hamdi2013,19,,74,Fang and Moncrieff 2001,,,Fang-forest,,forest,temperate,30,sequential,N,2.9,,,,
Hamdi2013,20,,75,Fang et al. 2005,56_37'N,3_48'W,Fang-2005,,forest,temperate,24,sequential,N,2.16,,,,
Hamdi2013,21,,76,Fierer et al. 2003,34_42'N,120_03'W,Fierer_0–5,,grassland,warm,22.5,equal-time,N,2.8,3.2,,,
Hamdi2013,21,,77,Fierer et al. 2003,34_42'N,120_03'W,Fierer_100,,grassland,warm,22.5,equal-time,N,3.8,0.84,,,
Hamdi2013,21,,78,Fierer et al. 2003,34_42'N,120_03'W,Fierer_15–25,,grassland,warm,22.5,equal-time,N,3.2,1.7,,,
Hamdi2013,21,,79,Fierer et al. 2003,34_42'N,120_03'W,Fierer_200,,grassland,warm,22.5,equal-time,N,4.1,0.16,,,
Hamdi2013,21,,80,Fierer et al. 2003,34_42'N,120_03'W,Fierer_50,,grassland,warm,22.5,equal-time,N,3.7,0.83,,,
